Full name of License	License Identifier	Source/url
3dfx Glide License	Glide	http://www.users.on.net/~triforce/glidexp/COPYING.txt
Abstyles License	Abstyles	https://fedoraproject.org/wiki/Licensing/Abstyles
Academic Free License v1.1	AFL-1.1	http://opensource.linux-mirror.org/licenses/afl-1.1.txt
Academic Free License v1.2	AFL-1.2	http://opensource.linux-mirror.org/licenses/afl-1.2.txt
Academic Free License v2.0	AFL-2.0	http://opensource.linux-mirror.org/licenses/afl-2.0.txt
Academic Free License v2.1	AFL-2.1	http://opensource.linux-mirror.org/licenses/afl-2.1.txt
Academic Free License v3.0	AFL-3.0	"http://www.rosenlaw.com/AFL3.0.htm
http://www.opensource.org/licenses/afl-3.0"
Academy of Motion Picture Arts and Sciences BSD	AMPAS	https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD
Adaptive Public License 1.0	APL-1.0	http://www.opensource.org/licenses/APL-1.0
Adobe Glyph List License	Adobe-Glyph	https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph
Adobe Postscript AFM License	APAFML	https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM
Adobe Systems Incorporated Source Code License Agreement	Adobe-2006	https://fedoraproject.org/wiki/Licensing/AdobeLicense
Affero General Public License v1.0	AGPL-1.0	http://www.affero.org/oagpl.html
Afmparse License	Afmparse	https://fedoraproject.org/wiki/Licensing/Afmparse
Aladdin Free Public License	Aladdin	http://pages.cs.wisc.edu/~ghost/doc/AFPL/6.01/Public.htm
Amazon Digital Services License	ADSL	https://fedoraproject.org/wiki/Licensing/AmazonDigitalServicesLicense
AMD's plpa_map.c License	AMDPLPA	https://fedoraproject.org/wiki/Licensing/AMD_plpa_map_License
ANTLR Software Rights Notice	ANTLR-PD	http://www.antlr2.org/license.html
Apache License 1.0	Apache-1.0	http://www.apache.org/licenses/LICENSE-1.0
Apache License 1.1	Apache-1.1	"http://apache.org/licenses/LICENSE-1.1
http://opensource.org/licenses/Apache-1.1"
Apache License 2.0	Apache-2.0	"http://www.apache.org/licenses/LICENSE-2.0
http://www.opensource.org/licenses/Apache-2.0"
Apple MIT License	AML	https://fedoraproject.org/wiki/Licensing/Apple_MIT_License
Apple Public Source License 1.0	APSL-1.0	https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.0
Apple Public Source License 1.1	APSL-1.1	http://www.opensource.apple.com/source/IOSerialFamily/IOSerialFamily-7/APPLE_LICENSE
Apple Public Source License 1.2	APSL-1.2	http://www.samurajdata.se/opensource/mirror/licenses/apsl.php
Apple Public Source License 2.0	APSL-2.0	http://www.opensource.apple.com/license/apsl/
Artistic License 1.0	Artistic-1.0	http://opensource.org/licenses/Artistic-1.0
Artistic License 1.0 (Perl)	Artistic-1.0-Perl	http://dev.perl.org/licenses/artistic.html
Artistic License 1.0 w/clause 8	Artistic-1.0-cl8	http://opensource.org/licenses/Artistic-1.0
Artistic License 2.0	Artistic-2.0	"http://www.perlfoundation.org/artistic_license_2_0  
http://www.opensource.org/licenses/artistic-license-2.0"
Attribution Assurance License	AAL	http://www.opensource.org/licenses/attribution
Bahyph License	Bahyph	https://fedoraproject.org/wiki/Licensing/Bahyph
Barr License	Barr	https://fedoraproject.org/wiki/Licensing/Barr
Beerware License	Beerware	https://fedoraproject.org/wiki/Licensing/Beerware
BitTorrent Open Source License v1.0	BitTorrent-1.0	http://sources.gentoo.org/cgi-bin/viewvc.cgi/gentoo-x86/licenses/BitTorrent?r1=1.1&r2=1.1.1.1&diff_format=s
BitTorrent Open Source License v1.1	BitTorrent-1.1	http://directory.fsf.org/wiki/License:BitTorrentOSL1.1
Boost Software License 1.0	BSL-1.0	"http://www.boost.org/LICENSE_1_0.txt
http://www.opensource.org/licenses/BSL-1.0"
Borceux license	Borceux	https://fedoraproject.org/wiki/Licensing/Borceux
"BSD 2-clause ""Simplified"" License"	BSD-2-Clause	http://www.opensource.org/licenses/BSD-2-Clause
BSD 2-clause FreeBSD License	BSD-2-Clause-FreeBSD	http://www.freebsd.org/copyright/freebsd-license.html
BSD 2-clause NetBSD License	BSD-2-Clause-NetBSD	http://www.netbsd.org/about/redistribution.html#default
"BSD 3-clause ""New"" or ""Revised"" License"	BSD-3-Clause	http://www.opensource.org/licenses/BSD-3-Clause
BSD 3-clause Clear License	BSD-3-Clause-Clear	http://labs.metacarta.com/license-explanation.html#license
BSD 3-Clause No Nuclear License	BSD-3-Clause-No-Nuclear-License	http://download.oracle.com/otn-pub/java/licenses/bsd.txt?AuthParam=1467140197_43d516ce1776bd08a58235a7785be1cc
BSD 3-Clause No Nuclear License 2014	BSD-3-Clause-No-Nuclear-License-2014	https://java.net/projects/javaeetutorial/pages/BerkeleyLicense
BSD 3-Clause No Nuclear Warranty	BSD-3-Clause-No-Nuclear-Warranty	https://jogamp.org/git/?p=gluegen.git;a=blob_plain;f=LICENSE.txt
"BSD 4-clause ""Original"" or ""Old"" License"	BSD-4-Clause	http://directory.fsf.org/wiki/License:BSD_4Clause
BSD Protection License	BSD-Protection	https://fedoraproject.org/wiki/Licensing/BSD_Protection_License
BSD Source Code Attribution	BSD-Source-Code	https://github.com/robbiehanson/CocoaHTTPServer/blob/master/LICENSE.txt
BSD with attribution	BSD-3-Clause-Attribution	https://fedoraproject.org/wiki/Licensing/BSD_with_Attribution
BSD Zero Clause License	0BSD	http://landley.net/toybox/license.html 
BSD-4-Clause (University of California-Specific)	BSD-4-Clause-UC	http://www.freebsd.org/copyright/license.html
bzip2 and libbzip2 License v1.0.5	bzip2-1.0.5	http://bzip.org/1.0.5/bzip2-manual-1.0.5.html
bzip2 and libbzip2 License v1.0.6	bzip2-1.0.6	https://github.com/asimonov-im/bzip2/blob/master/LICENSE
Caldera License	Caldera	http://www.lemis.com/grog/UNIX/ancient-source-all.pdf
CeCILL Free Software License Agreement v1.0	CECILL-1.0	http://www.cecill.info/licences/Licence_CeCILL_V1-fr.html
CeCILL Free Software License Agreement v1.1	CECILL-1.1	http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.html
CeCILL Free Software License Agreement v2.0	CECILL-2.0	http://www.cecill.info/licences/Licence_CeCILL_V2-fr.html
CeCILL Free Software License Agreement v2.1	CECILL-2.1	"http://www.cecill.info/licences/Licence_CeCILL_V2.1-fr.html
http://opensource.org/licenses/CECILL-2.1"
CeCILL-B Free Software License Agreement	CECILL-B	http://www.cecill.info/licences/Licence_CeCILL-B_V1-fr.html
CeCILL-C Free Software License Agreement	CECILL-C	http://www.cecill.info/licences/Licence_CeCILL-C_V1-fr.html
Clarified Artistic License	ClArtistic	http://www.ncftp.com/ncftp/doc/LICENSE.txt
CMU License	MIT-CMU	https://fedoraproject.org/wiki/Licensing:MIT?rd=Licensing/MIT#CMU_Style
CNRI Jython License	CNRI-Jython	http://www.jython.org/license.html
CNRI Python License	CNRI-Python	http://www.opensource.org/licenses/CNRI-Python
CNRI Python Open Source GPL Compatible License Agreement	CNRI-Python-GPL-Compatible	http://www.python.org/download/releases/1.6.1/download_win/
Code Project Open License 1.02	CPOL-1.02	http://www.codeproject.com/info/cpol10.aspx
Common Development and Distribution License 1.0	CDDL-1.0	http://www.opensource.org/licenses/cddl1
Common Development and Distribution License 1.1	CDDL-1.1	http://glassfish.java.net/public/CDDL+GPL_1_1.html
Common Public Attribution License 1.0	CPAL-1.0	http://www.opensource.org/licenses/CPAL-1.0
Common Public License 1.0	CPL-1.0	http://opensource.org/licenses/CPL-1.0
Computer Associates Trusted Open Source License 1.1	CATOSL-1.1	http://opensource.org/licenses/CATOSL-1.1
Condor Public License v1.1	Condor-1.1	http://research.cs.wisc.edu/condor/license.html#condor
Creative Commons Attribution 1.0	CC-BY-1.0	http://creativecommons.org/licenses/by/1.0/legalcode
Creative Commons Attribution 2.0	CC-BY-2.0	http://creativecommons.org/licenses/by/2.0/legalcode
Creative Commons Attribution 2.5	CC-BY-2.5	http://creativecommons.org/licenses/by/2.5/legalcode
Creative Commons Attribution 3.0	CC-BY-3.0	http://creativecommons.org/licenses/by/3.0/legalcode
Creative Commons Attribution 4.0	CC-BY-4.0	http://creativecommons.org/licenses/by/4.0/legalcode
Creative Commons Attribution No Derivatives 1.0	CC-BY-ND-1.0	http://creativecommons.org/licenses/by-nd/1.0/legalcode
Creative Commons Attribution No Derivatives 2.0	CC-BY-ND-2.0	http://creativecommons.org/licenses/by-nd/2.0/legalcode
